from_code,to_code,weight
BRNO,JIHL,90
JIHL,BRNO,90
BRNO,OLOM,80
OLOM,BRNO,80
BRNO,OSTR,170
OSTR,BRNO,170
BRNO,PARD,150
PARD,BRNO,150
BRNO,PRAHA,210
PRAHA,BRNO,210
BRNO,ZLIN,110
ZLIN,BRNO,110
CEBU,JIHL,110
JIHL,CEBU,110
CEBU,PLZN,140
PLZN,CEBU,140
CEBU,PRAHA,150
PRAHA,CEBU,150
HRAD,LIBE,100
LIBE,HRAD,100
HRAD,PARD,20
PARD,HRAD,20
JIHL,PARD,90
PARD,JIHL,90
KARL,PLZN,80
PLZN,KARL,80
KARL,PRAHA,130
PRAHA,KARL,130
KARL,TEPL,100
TEPL,KARL,100
LETI,PRAHA,10
PRAHA,LETI,10
LETI,PLZN,100
PLZN,LETI,100
LETI,TEPL,80
TEPL,LETI,80
LETI,USTI,80
USTI,LETI,80
LIBE,OSTR,260
OSTR,LIBE,260
LIBE,USTI,90
USTI,LIBE,90
OLOM,ZLIN,60
ZLIN,OLOM,60
OLOM,OSTR,100
OSTR,OLOM,100
PRAHA,LIBE,110
LIBE,PRAHA,110
PRAHA,PARD,104
PARD,PRAHA,104
PRAHA,PLZN,90
PLZN,PRAHA,90
PRAHA,TEPL,90
TEPL,PRAHA,90
PRAHA,USTI,80
USTI,PRAHA,80
TEPL,USTI,20
USTI,TEPL,20